trial_id,t,theta_deg,omega,sensor_ax
T01,6.01,-6.1073,-0.1046,0.0056
T01,6.02,-5.7974,-0.0819,0.0185
T01,6.03,-5.7355,-0.059,0.0091
T01,6.04,-5.9462,-0.0361,0.0147
T01,6.05,-5.6626,-0.0131,-0.0204
T01,6.06,-6.1886,0.0099,-0.0337
T01,6.07,-6.2655,0.0328,0.0248
T01,6.08,-6.342,0.0556,-0.0117
T01,6.09,-5.6437,0.0782,-0.0102
T01,6.1,-5.7559,0.1007,0.0214
T01,6.11,-5.8289,0.1228,0.006
T01,6.12,-5.6803,0.1447,0.0041
T01,6.13,-5.8676,0.1662,0.0384
T01,6.14,-5.0474,0.1874,-0.0177
T01,6.15,-5.3928,0.208,0.0138
T01,6.16,-5.2673,0.2282,-0.0035
T01,6.17,-5.0032,0.2479,0.0009
T01,6.18,-4.9004,0.267,0.0262
T01,6.19,-4.7895,0.2855,0.0059
T01,6.2,-4.8197,0.3033,0.0067
T01,6.21,-4.3848,0.3204,0.0175
T01,6.22,-3.9107,0.3368,-0.011
T01,6.23,-3.817,0.3525,-0.0203
T01,6.24,-3.5579,0.3673,-0.0243
T01,6.25,-3.7611,0.3813,-0.0425
T01,6.26,-3.6315,0.3945,0.0381
T01,6.27,-3.2264,0.4068,-0.0249
T01,6.28,-2.9511,0.4182,-0.007
T01,6.29,-2.4984,0.4286,-0.0079
T01,6.3,-2.8052,0.4381,0.004
T01,6.31,-1.9054,0.4467,0.0144
T01,6.32,-1.983,0.4542,0.0155
T01,6.33,-1.7731,0.4608,-0.0131
T01,6.34,-1.6232,0.4663,-0.0046
T01,6.35,-1.4822,0.4708,0.0046
T01,6.36,-0.7149,0.4743,-0.0057
T01,6.37,-0.5918,0.4767,0.0316
T01,6.38,-0.5905,0.4781,0.0095
T01,6.39,-0.3173,0.4784,0.0146
T01,6.4,0.1485,0.4777,0.0134
T01,6.41,0.8225,0.476,0.0239
T01,6.42,0.7082,0.4732,0.0043
T01,6.43,0.7288,0.4694,-0.025
T01,6.44,1.247,0.4646,0.0091
T01,6.45,1.505,0.4588,-0.0117
T01,6.46,1.2797,0.452,-0.009
T01,6.47,2.0634,0.4442,0.0135
T01,6.48,2.2783,0.4355,0.0268
T01,6.49,2.7084,0.4258,0.0027
T01,6.5,3.1777,0.4152,0.0086
T01,6.51,3.2655,0.4037,0.0367
T01,6.52,3.2116,0.3914,0.0077
T01,6.53,3.2618,0.3783,0.0551
T01,6.54,4.2075,0.3643,0.0145
T01,6.55,3.9061,0.3496,-0.0318
T01,6.56,4.0896,0.3341,0.0186
T01,6.57,4.2653,0.3179,0.0113
T01,6.58,4.4835,0.3011,0.0297
T01,6.59,4.5787,0.2836,0.0175
T01,6.6,4.6463,0.2656,0.0014
T01,6.61,4.7945,0.247,-0.0202
T01,6.62,5.0292,0.2278,0.0002
T01,6.63,5.0478,0.2083,-0.0125
T01,6.64,5.1232,0.1883,-0.007
T01,6.65,5.3847,0.1679,0.0165
T01,6.66,5.3982,0.1472,0.0382
T01,6.67,5.8237,0.1262,0.0127
T01,6.68,5.0543,0.105,-0.019
T01,6.69,5.8522,0.0835,0.0138
T01,6.7,5.9201,0.062,0.0289
T01,6.71,5.2807,0.0403,-0.0072
T01,6.72,5.639,0.0186,0.0023
T01,6.73,5.6329,-0.0031,0.0053
T01,6.74,5.4129,-0.0248,-0.0107
T01,6.75,5.5137,-0.0464,0.0179
T01,6.76,5.4097,-0.0679,0.0025
T01,6.77,5.9326,-0.0891,0.0133
T01,6.78,5.7075,-0.1102,-0.0129
T01,6.79,5.7011,-0.131,-0.004
T01,6.8,5.5057,-0.1514,0.0191
T01,6.81,5.0386,-0.1715,-0.0029
T01,6.82,5.0512,-0.1912,0.039
T01,6.83,5.1347,-0.2104,-0.0036
T01,6.84,4.6623,-0.2291,0.0088
T01,6.85,4.9088,-0.2473,0.0228
T01,6.86,4.5674,-0.265,-0.0243
T01,6.87,4.38,-0.282,-0.0313
T01,6.88,4.4272,-0.2984,-0.0268
T01,6.89,4.1949,-0.3141,0.0288
T01,6.9,3.8462,-0.3291,-0.0076
T01,6.91,3.9544,-0.3434,0.0544
T01,6.92,3.3027,-0.3568,-0.0082
T01,6.93,3.4311,-0.3695,0.0066
T01,6.94,3.2087,-0.3814,0.0335
T01,6.95,2.804,-0.3924,0.0426
T01,6.96,2.701,-0.4025,0.0435
T01,6.97,2.1501,-0.4118,0.0263
T01,6.98,2.3449,-0.4201,0.0224
T01,6.99,1.8785,-0.4275,0.0135
T01,7.0,1.5626,-0.434,0.017
T01,7.01,1.6254,-0.4395,-0.0098
T01,7.02,1.0205,-0.444,-0.0154
T01,7.03,0.6234,-0.4476,0.0007
T01,7.04,0.3359,-0.4502,-0.0028
T01,7.05,0.5096,-0.4517,-0.0087
T01,7.06,-0.127,-0.4524,0.014
T01,7.07,0.2209,-0.452,0.019
T01,7.08,-0.8048,-0.4506,0.0014
T01,7.09,-0.3063,-0.4483,0.029
T01,7.1,-0.8586,-0.445,-0.0236
T01,7.11,-1.1731,-0.4407,-0.0049
T01,7.12,-1.5127,-0.4354,-0.0156
T01,7.13,-1.5704,-0.4293,-0.0388
T01,7.14,-1.9002,-0.4222,-0.0033
T01,7.15,-1.91,-0.4142,-0.0043
T01,7.16,-2.3408,-0.4053,0.0282
T01,7.17,-2.5609,-0.3955,0.0104
T01,7.18,-2.8851,-0.3849,-0.0229
T01,7.19,-3.0386,-0.3735,0.0344
T01,7.2,-3.1736,-0.3613,0.0216
T01,7.21,-3.7777,-0.3483,0.0086
T01,7.22,-3.898,-0.3345,-0.0077
T01,7.23,-3.6642,-0.3201,-0.0225
T01,7.24,-3.9545,-0.305,-0.0109
T01,7.25,-4.1924,-0.2893,0.0181
T01,7.26,-4.3095,-0.2729,0.0339
T01,7.27,-4.3915,-0.256,0.027
T01,7.28,-4.7069,-0.2386,-0.0138
T01,7.29,-4.8823,-0.2206,-0.0265
T01,7.3,-4.8047,-0.2022,-0.0014
T01,7.31,-5.1459,-0.1834,-0.0397
T01,7.32,-4.9641,-0.1643,0.0021
T01,7.33,-5.4705,-0.1448,-0.0074
T01,7.34,-4.9972,-0.125,-0.0139
T01,7.35,-5.17,-0.105,-0.0365
T01,7.36,-5.2633,-0.0848,0.0056
T01,7.37,-5.1563,-0.0644,-0.0153
T01,7.38,-5.0463,-0.044,-0.0281
T01,7.39,-5.1914,-0.0234,-0.0622
T01,7.4,-5.7655,-0.0029,-0.0053
T01,7.41,-5.6445,0.0176,0.0307
T01,7.42,-5.4931,0.0381,0.0285
T01,7.43,-5.3308,0.0584,-0.0138
T01,7.44,-5.1888,0.0786,-0.0167
T01,7.45,-5.3824,0.0985,0.0048
T01,7.46,-5.1334,0.1182,-0.0245
T01,7.47,-5.2442,0.1377,0.0016
T01,7.48,-5.1269,0.1568,0.011
T01,7.49,-5.1866,0.1755,0.0203
T01,7.5,-4.9801,0.1938,-0.0062
T01,7.51,-4.9457,0.2116,-0.0082
T01,7.52,-4.7404,0.229,-0.0215
T01,7.53,-4.1947,0.2458,-0.0204
T01,7.54,-4.4462,0.2621,-0.0082
T01,7.55,-3.5717,0.2778,0.0038
T01,7.56,-3.8326,0.2928,0.0148
T01,7.57,-3.7192,0.3072,-0.0193
T01,7.58,-3.7449,0.3209,0.0267
T01,7.59,-3.2426,0.3338,-0.0084
T01,7.6,-3.3003,0.346,-0.0032
T01,7.61,-2.9566,0.3575,-0.0175
T01,7.62,-2.2587,0.3681,-0.0509
T01,7.63,-2.5739,0.3779,0.0155
T01,7.64,-2.1037,0.3869,0.0127
T01,7.65,-2.2482,0.395,-0.0075
T01,7.66,-1.8845,0.4023,-0.0003
T01,7.67,-1.2895,0.4087,0.0089
T01,7.68,-1.532,0.4141,-0.0325
T01,7.69,-0.8044,0.4187,-0.0116
T01,7.7,-0.7835,0.4223,0.0151
T01,7.71,-0.7941,0.425,-0.0257
T01,7.72,-0.3106,0.4268,0.0055
T01,7.73,0.0025,0.4276,-0.0273
T01,7.74,0.1774,0.4275,0.0094
T01,7.75,-0.0165,0.4265,-0.0005
T01,7.76,0.3957,0.4246,-0.0318
T01,7.77,0.7335,0.4217,0.024
T01,7.78,1.0079,0.4179,-0.0138
T01,7.79,1.3841,0.4132,-0.0151
T01,7.8,1.5296,0.4076,0.0053
T01,7.81,1.4574,0.4012,0.0245
T01,7.82,2.0268,0.3938,-0.0186
T01,7.83,2.2945,0.3857,0.0031
T01,7.84,2.5008,0.3767,0.0107
T01,7.85,2.816,0.3669,0.0161
T01,7.86,2.9716,0.3563,0.006
T01,7.87,3.0951,0.3449,-0.0047
T01,7.88,3.1809,0.3329,-0.0138
T01,7.89,3.0471,0.3201,0.0047
T01,7.9,3.6419,0.3066,-0.0183
T01,7.91,3.7661,0.2925,-0.0552
T01,7.92,3.9391,0.2778,0.0121
T01,7.93,3.781,0.2625,0.0216
T01,7.94,3.9626,0.2467,-0.0436
T01,7.95,4.5226,0.2303,-0.0164
T01,7.96,4.4275,0.2135,0.0163
T01,7.97,4.6854,0.1962,0.0451
T01,7.98,4.6583,0.1785,0.0045
T01,7.99,4.7518,0.1605,-0.0104
T02,0.0,19.9634,-0.0,-0.0028
T02,0.0125,20.2419,-0.0535,0.0191
T02,0.025,19.7666,-0.1067,-0.0011
T02,0.0375,19.6267,-0.1597,0.0224
T02,0.05,19.543,-0.2123,-0.0008
T02,0.0625,19.2646,-0.2645,0.0088
T02,0.075,19.2584,-0.316,-0.0031
T02,0.0875,19.3009,-0.3669,0.0296
T02,0.1,18.7468,-0.417,0.0335
T02,0.1125,18.3025,-0.4663,0.0113
T02,0.125,17.9307,-0.5145,0.0165
T02,0.1375,17.2785,-0.5618,-0.0136
T02,0.15,17.3368,-0.6079,0.009
T02,0.1625,16.6814,-0.6527,0.0136
T02,0.175,16.1663,-0.6963,0.0666
T02,0.1875,16.3161,-0.7384,-0.0086
T02,0.2,15.183,-0.7791,0.0425
T02,0.2125,14.3905,-0.8182,0.0326
T02,0.225,13.8462,-0.8557,0.0178
T02,0.2375,13.5259,-0.8916,0.0468
T02,0.25,12.659,-0.9256,0.0185
T02,0.2625,11.6656,-0.9579,0.0182
T02,0.275,11.432,-0.9882,0.0088
T02,0.2875,10.3889,-1.0166,0.0337
T02,0.3,10.1525,-1.0431,0.0305
T02,0.3125,9.2314,-1.0675,-0.0046
T02,0.325,8.1472,-1.0898,-0.0192
T02,0.3375,7.6996,-1.11,0.0024
T02,0.35,6.6504,-1.1281,-0.0102
T02,0.3625,5.9893,-1.144,0.0038
T02,0.375,5.0876,-1.1576,0.0291
T02,0.3875,3.9849,-1.1691,-0.0055
T02,0.4,3.1822,-1.1782,0.002
T02,0.4125,2.6684,-1.1851,0.0033
T02,0.425,1.5434,-1.1898,0.0184
T02,0.4375,0.6758,-1.1921,-0.0443
T02,0.45,-0.2887,-1.1922,-0.0122
T02,0.4625,-0.8657,-1.1899,0.0034
T02,0.475,-1.3877,-1.1854,0.0224
T02,0.4875,-2.8589,-1.1787,-0.0121
T02,0.5,-3.4795,-1.1696,-0.0406
T02,0.5125,-4.033,-1.1584,0.0086
T02,0.525,-5.153,-1.1449,-0.0172
T02,0.5375,-5.8573,-1.1293,-0.029
T02,0.55,-6.9585,-1.1116,-0.0184
T02,0.5625,-7.4445,-1.0917,-0.0103
T02,0.575,-8.3362,-1.0698,-0.0193
T02,0.5875,-8.8533,-1.0458,-0.052
T02,0.6,-9.5463,-1.0199,0.0094
T02,0.6125,-9.9794,-0.9921,0.0163
T02,0.625,-11.0739,-0.9624,0.0033
T02,0.6375,-11.7947,-0.9309,-0.0331
T02,0.65,-12.4675,-0.8977,-0.0149
T02,0.6625,-13.1986,-0.8628,-0.0116
T02,0.675,-13.6559,-0.8262,-0.0
T02,0.6875,-14.3511,-0.7882,0.0009
T02,0.7,-14.7987,-0.7487,-0.0276
T02,0.7125,-15.08,-0.7078,-0.0117
T02,0.725,-16.026,-0.6657,-0.0047
T02,0.7375,-16.0468,-0.6223,0.0149
T02,0.75,-16.4297,-0.5777,-0.0005
T02,0.7625,-17.1025,-0.5322,0.0009
T02,0.775,-17.8558,-0.4857,-0.0135
T02,0.7875,-17.8717,-0.4383,0.0127
T02,0.8,-17.775,-0.3901,-0.0075
T02,0.8125,-18.2883,-0.3413,-0.0332
T02,0.825,-18.6975,-0.2918,0.0119
T02,0.8375,-18.7769,-0.2419,-0.0023
T02,0.85,-18.65,-0.1916,-0.0253
T02,0.8625,-18.8148,-0.141,-0.0261
T02,0.875,-19.0416,-0.0902,-0.0106
T02,0.8875,-19.1003,-0.0393,-0.0073
T02,0.9,-19.102,0.0116,-0.0127
T02,0.9125,-19.1684,0.0625,-0.0103
T02,0.925,-18.5848,0.1131,0.0175
T02,0.9375,-18.8602,0.1634,0.005
T02,0.95,-18.4043,0.2134,-0.0125
T02,0.9625,-18.16,0.2629,0.0027
T02,0.975,-18.046,0.3118,-0.0366
T02,0.9875,-18.0788,0.3601,-0.0077
T02,1.0,-17.6244,0.4075,0.0207
T02,1.0125,-17.3891,0.4542,-0.0195
T02,1.025,-17.2114,0.4999,-0.0318
T02,1.0375,-16.58,0.5446,-0.0276
T02,1.05,-16.4635,0.5882,-0.036
T02,1.0625,-15.5426,0.6306,-0.0295
T02,1.075,-15.3958,0.6717,-0.0208
T02,1.0875,-14.7568,0.7115,-0.041
T02,1.1,-14.2069,0.7499,-0.0121
T02,1.1125,-13.7553,0.7867,0.0061
T02,1.125,-13.0006,0.8221,-0.0296
T02,1.1375,-12.6031,0.8558,0.0195
T02,1.15,-11.7009,0.8878,-0.0001
T02,1.1625,-11.4896,0.9181,0.0108
T02,1.175,-10.5198,0.9465,-0.0224
T02,1.1875,-9.4626,0.9731,0.0085
T02,1.2,-9.338,0.9979,-0.0298
T02,1.2125,-8.5444,1.0206,0.0105
T02,1.225,-7.562,1.0414,-0.0033
T02,1.2375,-6.8711,1.0602,0.005
T02,1.25,-6.0669,1.0769,-0.0289
T02,1.2625,-5.2586,1.0915,-0.0226
T02,1.275,-4.4397,1.104,0.008
T02,1.2875,-3.5472,1.1144,-0.0223
T02,1.3,-2.8836,1.1226,0.0067
T02,1.3125,-2.2057,1.1287,-0.0292
T02,1.325,-1.2118,1.1326,0.0158
T02,1.3375,-0.1538,1.1343,-0.0251
T02,1.35,0.2522,1.1339,0.0113
T02,1.3625,0.8946,1.1313,0.0135
T02,1.375,2.1185,1.1265,-0.0123
T02,1.3875,2.6759,1.1196,0.014
T02,1.4,3.062,1.1105,0.0083
T02,1.4125,4.4548,1.0993,-0.007
T02,1.425,4.9577,1.0861,-0.0158
T02,1.4375,5.8153,1.0707,-0.0342
T02,1.45,6.6563,1.0534,0.0127
T02,1.4625,7.3708,1.034,-0.0249
T02,1.475,8.2023,1.0127,0.0089
T02,1.4875,8.6845,0.9895,0.0024
T02,1.5,9.5677,0.9644,0.0218
T02,1.5125,10.0876,0.9375,0.0028
T02,1.525,10.9413,0.9089,0.0028
T02,1.5375,11.5491,0.8785,0.0246
T02,1.55,11.8486,0.8466,0.0172
T02,1.5625,12.8387,0.813,0.0173
T02,1.575,13.0752,0.7779,0.0209
T02,1.5875,13.8788,0.7414,-0.0187
T02,1.6,14.2984,0.7035,0.0275
T02,1.6125,15.0725,0.6643,0.0251
T02,1.625,15.1112,0.6239,-0.0071
T02,1.6375,15.5074,0.5824,0.0087
T02,1.65,15.9643,0.5398,0.0131
T02,1.6625,16.2674,0.4963,0.0116
T02,1.675,16.8162,0.4518,0.0212
T02,1.6875,16.6287,0.4065,0.0434
T02,1.7,17.004,0.3606,0.0367
T02,1.7125,17.2308,0.314,-0.011
T02,1.725,17.8302,0.2668,0.0278
T02,1.7375,18.144,0.2192,0.0421
T02,1.75,17.9085,0.1713,0.0234
T02,1.7625,17.9885,0.1231,0.0375
T02,1.775,18.0946,0.0747,0.056
T02,1.7875,18.3366,0.0263,0.0363
T02,1.8,17.9076,-0.0222,0.0208
T02,1.8125,18.0951,-0.0705,0.0367
T02,1.825,18.1622,-0.1186,0.0186
T02,1.8375,17.9529,-0.1664,0.0161
T02,1.85,17.742,-0.2138,0.0084
T02,1.8625,17.7221,-0.2608,0.0466
T02,1.875,16.7657,-0.3072,-0.0013
T02,1.8875,17.1935,-0.3529,0.0455
T02,1.9,16.6465,-0.398,0.0246
T02,1.9125,16.0987,-0.4421,-0.0136
T02,1.925,16.2236,-0.4854,0.0214
T02,1.9375,16.0221,-0.5277,-0.0283
T02,1.95,15.3164,-0.5689,0.0259
T02,1.9625,15.102,-0.609,0.0307
T02,1.975,14.7736,-0.6478,0.0008
T02,1.9875,14.2268,-0.6854,0.0147
T02,2.0,13.7784,-0.7216,0.0508
T02,2.0125,13.0603,-0.7563,0.0012
T02,2.025,12.3645,-0.7896,-0.0104
T02,2.0375,11.4437,-0.8213,0.0399
T02,2.05,11.1079,-0.8514,0.049
T02,2.0625,10.3609,-0.8798,0.0093
T02,2.075,10.3169,-0.9065,0.0289
T02,2.0875,9.1827,-0.9314,0.0349
T02,2.1,8.5609,-0.9545,-0.0074
T02,2.1125,7.9496,-0.9757,-0.0029
T02,2.125,7.137,-0.995,0.0308
T02,2.1375,6.7436,-1.0125,0.0393
T02,2.15,5.5451,-1.0279,0.0162
T02,2.1625,4.9637,-1.0414,-0.0133
T02,2.175,4.0231,-1.0528,0.0434
T02,2.1875,3.1475,-1.0622,-0.0076
T02,2.2,2.5235,-1.0696,-0.0044
T02,2.2125,1.8688,-1.0749,0.0085
T02,2.225,1.0182,-1.0781,0.032
T02,2.2375,0.1924,-1.0793,0.0174
T02,2.25,-0.7231,-1.0784,0.0079
T02,2.2625,-1.2293,-1.0754,0.0082
T02,2.275,-2.281,-1.0704,-0.0009
T02,2.2875,-2.5906,-1.0633,0.0088
T02,2.3,-3.4824,-1.0543,-0.0536
T02,2.3125,-4.5389,-1.0432,-0.0096
T02,2.325,-5.0486,-1.0301,0.0005
T02,2.3375,-5.866,-1.0151,-0.028
T02,2.35,-6.3685,-0.9981,0.0021
T02,2.3625,-6.8678,-0.9793,-0.0103
T02,2.375,-8.1998,-0.9586,0.0283
T02,2.3875,-8.4746,-0.9361,0.024
T02,2.4,-9.1854,-0.9118,-0.0173
T02,2.4125,-9.6564,-0.8859,-0.0116
T02,2.425,-10.3656,-0.8582,-0.0106
T02,2.4375,-11.1555,-0.829,-0.0186
T02,2.45,-11.6439,-0.7982,-0.0062
T02,2.4625,-12.2913,-0.766,-0.0258
T02,2.475,-12.4449,-0.7323,-0.0337
T02,2.4875,-13.1588,-0.6972,0.001
T02,2.5,-13.2599,-0.6609,0.0007
T02,2.5125,-14.1026,-0.6233,-0.0284
T02,2.525,-14.6549,-0.5847,0.0052
T02,2.5375,-15.2103,-0.5449,-0.0256
T02,2.55,-15.6334,-0.5042,-0.0083
T02,2.5625,-15.9251,-0.4625,0.0028
T02,2.575,-15.86,-0.42,-0.0146
T02,2.5875,-16.086,-0.3768,-0.005
T02,2.6,-16.7468,-0.3329,-0.0247
T02,2.6125,-16.4626,-0.2885,-0.0185
T02,2.625,-16.9172,-0.2435,-0.0188
T02,2.6375,-16.9377,-0.1982,-0.0297
T02,2.65,-16.7583,-0.1525,-0.0184
T02,2.6625,-16.9823,-0.1066,-0.0459
T02,2.675,-17.2633,-0.0605,-0.0248
T02,2.6875,-17.4027,-0.0145,-0.0207
T02,2.7,-17.6368,0.0316,-0.0201
T02,2.7125,-17.2992,0.0775,-0.0198
T02,2.725,-17.1138,0.1233,-0.0161
T02,2.7375,-17.1526,0.1687,-0.0052
T02,2.75,-16.8328,0.2137,0.0028
T02,2.7625,-16.6105,0.2583,-0.0275
T02,2.775,-16.4586,0.3023,-0.0384
T02,2.7875,-16.3002,0.3456,-0.035
T02,2.8,-15.8625,0.3883,-0.0236
T02,2.8125,-15.5038,0.4301,-0.0206
T02,2.825,-15.4767,0.4711,-0.0287
T02,2.8375,-14.6142,0.5111,-0.0389
T02,2.85,-14.5258,0.5501,-0.0218
T02,2.8625,-14.0848,0.5879,-0.0087
T02,2.875,-13.5031,0.6246,-0.0
T02,2.8875,-13.1286,0.66,-0.0226
T02,2.9,-12.4907,0.6942,-0.0193
T02,2.9125,-12.1063,0.7269,-0.0291
T02,2.925,-11.746,0.7582,-0.0108
T02,2.9375,-10.9895,0.788,-0.0266
T02,2.95,-10.7085,0.8163,0.0023
T02,2.9625,-9.8567,0.843,-0.0443
T02,2.975,-9.2656,0.868,-0.0153
T02,2.9875,-8.6643,0.8913,-0.0015
T02,3.0,-7.9965,0.9128,-0.0033
T02,3.0125,-7.6809,0.9326,0.0475
T02,3.025,-6.7349,0.9506,0.0012
T02,3.0375,-5.9155,0.9668,-0.0253
T02,3.05,-5.2006,0.981,-0.0065
T02,3.0625,-4.7276,0.9934,-0.0395
T02,3.075,-3.5507,1.0038,-0.0049
T02,3.0875,-3.2526,1.0123,-0.0193
T02,3.1,-2.1561,1.0189,0.0163
T02,3.1125,-1.5317,1.0235,-0.0124
T02,3.125,-1.0114,1.0261,-0.0031
T02,3.1375,0.2085,1.0268,-0.0128
T02,3.15,0.3496,1.0255,0.0353
T02,3.1625,1.5049,1.0222,-0.0053
T02,3.175,2.2504,1.017,0.0384
T02,3.1875,2.6404,1.0098,0.0187
T02,3.2,3.7709,1.0008,0.0127
T02,3.2125,4.1527,0.9898,0.011
T02,3.225,4.9616,0.9769,0.0122
T02,3.2375,5.6468,0.9622,-0.0337
T02,3.25,6.247,0.9456,-0.0001
T02,3.2625,7.1023,0.9273,0.023
T02,3.275,7.7508,0.9072,0.0056
T02,3.2875,7.879,0.8854,-0.0209
T02,3.3,9.1095,0.862,0.0067
T02,3.3125,9.1182,0.8369,0.0423
T02,3.325,10.2404,0.8103,0.0337
T02,3.3375,10.8224,0.7821,0.008
T02,3.35,10.921,0.7525,0.0287
T02,3.3625,11.577,0.7215,0.0028
T02,3.375,11.935,0.6892,-0.0235
T02,3.3875,12.5862,0.6555,-0.0075
T02,3.4,13.0157,0.6207,0.0427
T02,3.4125,13.6557,0.5847,0.0063
T02,3.425,14.1579,0.5477,0.0073
T02,3.4375,14.5439,0.5096,0.0065
T02,3.45,14.4934,0.4707,0.0508
T02,3.4625,14.8766,0.4309,0.0455
T02,3.475,14.8654,0.3903,0.0576
T02,3.4875,15.295,0.349,0.0103
T02,3.5,15.8733,0.3071,0.0196
T02,3.5125,16.1973,0.2647,-0.0165
T02,3.525,15.7905,0.2218,0.0435
T02,3.5375,16.0511,0.1786,-0.0092
T02,3.55,16.2654,0.1351,0.0185
T02,3.5625,16.3965,0.0914,-0.0077
T02,3.575,16.217,0.0476,0.0025
T02,3.5875,16.4707,0.0037,-0.0024
T02,3.6,16.2667,-0.0401,0.0021
T02,3.6125,16.3029,-0.0837,0.0034
T02,3.625,16.3282,-0.1272,0.0032
T02,3.6375,16.1025,-0.1703,0.0307
T02,3.65,15.8655,-0.2131,-0.0082
T02,3.6625,15.752,-0.2553,0.0182
T02,3.675,15.5475,-0.2971,0.0379
T02,3.6875,15.2529,-0.3382,0.0031
T02,3.7,15.0079,-0.3786,-0.0012
T02,3.7125,15.0837,-0.4182,0.0083
T02,3.725,14.5525,-0.457,0.0362
T02,3.7375,14.0304,-0.4948,0.0162
T02,3.75,13.8516,-0.5317,0.0013
T02,3.7625,13.2424,-0.5674,0.0213
T02,3.775,13.1159,-0.6021,-0.0108
T02,3.7875,12.5031,-0.6355,0.0245
T02,3.8,11.9325,-0.6677,0.0186
T02,3.8125,11.5461,-0.6985,0.0038
T02,3.825,10.6237,-0.728,-0.0072
T02,3.8375,10.1736,-0.756,-0.0087
T02,3.85,9.6021,-0.7825,0.0193
T02,3.8625,9.2934,-0.8075,0.0327
T02,3.875,9.0182,-0.831,-0.0052
T02,3.8875,8.5091,-0.8528,0.0162
T02,3.9,7.567,-0.8729,-0.0352
T02,3.9125,6.9027,-0.8914,-0.0058
T02,3.925,5.7934,-0.9081,0.0047
T02,3.9375,5.3852,-0.923,-0.0134
T02,3.95,4.6667,-0.9362,-0.0145
T02,3.9625,4.0223,-0.9475,-0.0097
T02,3.975,3.4281,-0.957,0.0089
T02,3.9875,2.6768,-0.9647,-0.0013
T02,4.0,1.6806,-0.9705,-0.043
T02,4.0125,1.5282,-0.9745,-0.0412
T02,4.025,0.4646,-0.9765,-0.0115
T02,4.0375,0.0272,-0.9767,0.0091
T02,4.05,-0.3046,-0.9751,-0.0556
T02,4.0625,-1.5998,-0.9715,-0.0112
T02,4.075,-2.6147,-0.9662,-0.0124
T02,4.0875,-2.8536,-0.9589,0.0253
T02,4.1,-3.2577,-0.9499,-0.0107
T02,4.1125,-3.7601,-0.939,0.004
T02,4.125,-5.0626,-0.9264,-0.0014
T02,4.1375,-5.3722,-0.912,-0.0474
T02,4.15,-6.2081,-0.8958,0.01
T02,4.1625,-6.767,-0.878,-0.0016
T02,4.175,-6.834,-0.8585,0.0037
T02,4.1875,-8.2656,-0.8374,0.0716
T02,4.2,-8.5002,-0.8148,-0.0491
T02,4.2125,-9.0263,-0.7906,0.0265
T02,4.225,-9.4532,-0.7649,-0.0142
T02,4.2375,-10.1821,-0.7378,-0.0032
T02,4.25,-10.6511,-0.7093,-0.0103
T02,4.2625,-11.2808,-0.6795,-0.0183
T02,4.275,-11.6163,-0.6484,-0.0216
T02,4.2875,-12.1834,-0.6162,-0.004
T02,4.3,-12.4113,-0.5828,-0.0413
T02,4.3125,-13.0058,-0.5483,0.0037
T02,4.325,-13.2274,-0.5128,-0.0199
T02,4.3375,-13.6536,-0.4764,-0.0345
T02,4.35,-13.7409,-0.4392,-0.0212
T02,4.3625,-14.2676,-0.4011,0.0127
T02,4.375,-14.8754,-0.3624,-0.0234
T02,4.3875,-14.5036,-0.323,-0.0057
T02,4.4,-15.1439,-0.283,-0.0277
T02,4.4125,-15.2713,-0.2425,0.0019
T02,4.425,-15.4082,-0.2017,0.0004
T02,4.4375,-15.1332,-0.1605,0.0235
T02,4.45,-15.9246,-0.119,-0.017
T02,4.4625,-14.9295,-0.0774,-0.0002
T02,4.475,-15.3755,-0.0357,-0.0116
T02,4.4875,-15.5419,0.006,0.0123
T02,4.5,-15.5675,0.0476,-0.028
T02,4.5125,-15.4396,0.0891,0.0014
T02,4.525,-15.3031,0.1304,-0.0173
T02,4.5375,-15.1596,0.1714,-0.0146
T02,4.55,-15.0296,0.2119,-0.0114
T02,4.5625,-14.9462,0.2521,-0.008
T02,4.575,-14.7985,0.2916,-0.0152
T02,4.5875,-14.5563,0.3306,-0.0084
T02,4.6,-14.3045,0.3689,0.0191
T02,4.6125,-13.7512,0.4064,0.0075
T02,4.625,-13.5454,0.4431,0.0055
T02,4.6375,-13.9127,0.4789,-0.0207
T02,4.65,-12.8288,0.5137,-0.0291
T02,4.6625,-12.5321,0.5475,0.0081
T02,4.675,-12.1623,0.5802,0.0069
T02,4.6875,-11.8011,0.6117,0.0192
T02,4.7,-11.0416,0.642,-0.0219
T02,4.7125,-10.5989,0.6711,-0.014
T02,4.725,-10.445,0.6988,-0.0418
T02,4.7375,-9.6921,0.7251,-0.0164
T02,4.75,-9.4329,0.7501,0.0119
T02,4.7625,-8.9626,0.7735,-0.0169
T02,4.775,-8.2442,0.7955,0.0057
T02,4.7875,-7.3638,0.8158,-0.0104
T02,4.8,-6.7495,0.8346,0.0004
T02,4.8125,-6.2289,0.8518,-0.0285
T02,4.825,-5.5666,0.8673,-0.0033
T02,4.8375,-4.9784,0.8812,-0.0643
T02,4.85,-4.5711,0.8933,-0.0076
T02,4.8625,-3.71,0.9037,-0.0359
T02,4.875,-2.9835,0.9123,0.0214
T02,4.8875,-2.3348,0.9192,0.0134
T02,4.9,-1.5861,0.9244,0.0077
T02,4.9125,-1.0178,0.9277,0.0294
